Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId,Point ALC
#ahu-3_0206/cwcr,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-3,CW Coil Return,3,20606:24,1,BAI,2,1,10,CW Coil Return
#ahu-3_0206/cwcs,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-3,CW Coil Supply,3,20606:24,2,BAI,2,1,11,CW Coil Supply
#ahu-3_0206/hwcr,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-3,HW Coil Return,3,20606:24,5,BAI,2,2,13,HW Coil Return
#ahu-3_0206/hwcs,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-3,HW Coil Supply,3,20606:24,6,BAI,2,2,14,HW Coil Supply
#ahu-3_0206/osacfm,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-3,OSA CFM,3,20606:24,9,BAI,2,4,33,OSA CFM
#ahu-4_0206/cwcr,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,CW Coil Return,4,20620:75,1,BAI,2,3,10,CW Coil Return
#ahu-4_0206/cwcs,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,CW Coil Supply,4,20620:75,2,BAI,2,3,11,CW Coil Supply
#ahu-4_0206/hwcr,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,HW Coil Return,4,20620:75,5,BAI,2,4,13,HW Coil Return
#ahu-4_0206/hwcs,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,HW Coil Supply,4,20620:75,6,BAI,2,4,14,HW Coil Supply
#ahu-4_0206/osacfm,10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,OSA CFM,4,20620:75,9,BAI,2,5,33,OSA CFM
#copy_of_sav-b38-a_/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Organic Chemistry 330  3A22,Zone Temp / Zone Temp,1_2,20606:25,1,BAI,2,1,69,Zone Temp / Zone Temp
#sav-1a1-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wind Tunnel 185 West SAV-1A1-C,Zone Temp / Zone Temp,1_2,20613:34,1,BAI,2,2,69,Zone Temp / Zone Temp
#sav-1a2-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wind Tunnel 185 East SAV-1A2-C,Zone Temp / Zone Temp,1_2,20613:35,1,BAI,2,3,69,Zone Temp / Zone Temp
#sav-1a3-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Instructor Support 190 SAV-1A3-B,Zone Temp / Zone Temp,1_2,20613:36,1,BAI,2,4,69,Zone Temp / Zone Temp
#sav-1a4-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Thermofluid Lab 180 SAV-1A4-C,Zone Temp / Zone Temp,1_2,20613:37,1,BAI,2,5,69,Zone Temp / Zone Temp
#sav-1a5-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Prep 170 SAV-1A5-C,Zone Temp / Zone Temp,1_2,20613:38,1,BAI,2,6,69,Zone Temp / Zone Temp
#sav-1a6-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wet Lab 160 West SAV-1A6-C,Zone Temp / Zone Temp,1_2,20613:39,1,BAI,2,7,69,Zone Temp / Zone Temp
#sav-1a7-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wet Lab 160 East SAV-1A7-C,Zone Temp / Zone Temp,1_2,20613:40,1,BAI,2,8,69,Zone Temp / Zone Temp
#sav-1a8-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Machine Shop 175 SAV-1A8-C,Zone Temp / Zone Temp,1_2,20613:41,1,BAI,2,9,69,Zone Temp / Zone Temp
#sav-1b10-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Learning 165 East SAV-1B10-C,Zone Temp / Zone Temp,1_2,20613:43,1,BAI,2,10,69,Zone Temp / Zone Temp
#sav-1b11-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wet Lab 150 West SAV-1B11-C,Zone Temp / Zone Temp,1_2,20613:44,1,BAI,2,11,69,Zone Temp / Zone Temp
#sav-1b12-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wet Lab 150 East SAV-1B12-C,Zone Temp / Zone Temp,1_2,20613:45,1,BAI,2,12,69,Zone Temp / Zone Temp
#sav-1b13-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Prep 140 SAV-1B13-C,Zone Temp / Zone Temp,1_2,20613:46,1,BAI,2,13,69,Zone Temp / Zone Temp
#sav-1b14-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wet Lab 130 West SAV-1B14-C,Zone Temp / Zone Temp,1_2,20613:47,1,BAI,2,14,69,Zone Temp / Zone Temp
#sav-1b15-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Wet Lab 130 East SAV-1B15-C,Zone Temp / Zone Temp,1_2,20613:48,1,BAI,2,15,69,Zone Temp / Zone Temp
#sav-1b16-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Electronics 155 SAV-1B16-C,Zone Temp / Zone Temp,1_2,20613:49,1,BAI,2,16,69,Zone Temp / Zone Temp
#sav-1b17-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Tech Office 135 SAV-1B17-CA,Zone Temp / Zone Temp,1_2,20613:50,1,BAI,2,17,69,Zone Temp / Zone Temp
#sav-1b9-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,First Floor,Long Bar,Learning 165 West SAV-1B9-C,Zone Temp / Zone Temp,1_2,20613:42,1,BAI,2,18,69,Zone Temp / Zone Temp
#sav-2a10-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Hallway 230 SAV-2A10-C,Zone Temp / Zone Temp,1_2,20618:10,1,BAI,2,20,69,Zone Temp / Zone Temp
#sav-2a11-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Hallway 2C9 SAV-2A11-A,Zone Temp / Zone Temp,1_2,20618:11,1,BAI,2,21,69,Zone Temp / Zone Temp
#sav-2a12-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230S SAV-2A12-A,Zone Temp / Zone Temp,1_2,20618:12,1,BAI,2,22,69,Zone Temp / Zone Temp
#sav-2a13-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230J SAV-2A13-B,Zone Temp / Zone Temp,1_2,20618:13,1,BAI,2,23,69,Zone Temp / Zone Temp
#sav-2a14-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230T SAV-2A14-A,Zone Temp / Zone Temp,1_2,20618:14,1,BAI,2,24,69,Zone Temp / Zone Temp
#sav-2a15-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230H SAV-2A15-C,Zone Temp / Zone Temp,1_2,20618:15,1,BAI,2,25,69,Zone Temp / Zone Temp
#sav-2a16-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230F SAV-2A16-B,Zone Temp / Zone Temp,1_2,20618:16,1,BAI,2,26,69,Zone Temp / Zone Temp
#sav-2a17-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Hallway 230 SAV-2A17-A,Zone Temp / Zone Temp,1_2,20618:17,1,BAI,2,27,69,Zone Temp / Zone Temp
#sav-2a18-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230U SAV-2A18-A,Zone Temp / Zone Temp,1_2,20618:18,1,BAI,2,28,69,Zone Temp / Zone Temp
#sav-2a19-d/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230E SAV-2A19-D,Zone Temp / Zone Temp,1_2,20618:19,1,BAI,2,29,69,Zone Temp / Zone Temp
#sav-2a20-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230V SAV-2A20-A,Zone Temp / Zone Temp,1_2,20618:20,1,BAI,2,31,69,Zone Temp / Zone Temp
#sav-2a21-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230D SAV-2A21-C,Zone Temp / Zone Temp,1_2,20618:21,1,BAI,2,32,69,Zone Temp / Zone Temp
#sav-2a22-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230C SAV-2A22-A,Zone Temp / Zone Temp,1_2,20618:22,1,BAI,2,33,69,Zone Temp / Zone Temp
#sav-2a3-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Computation 230Q SAV-2A3-A,Zone Temp / Zone Temp,1_2,20618:3,1,BAI,2,35,69,Zone Temp / Zone Temp
#sav-2a4-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Enginnering 230P SAV-2A4-A,Zone Temp / Zone Temp,1_2,20618:4,1,BAI,2,36,69,Zone Temp / Zone Temp
#sav-2a5-c/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230N SAV-2A5-C,Zone Temp / Zone Temp,1_2,20618:5,1,BAI,2,37,69,Zone Temp / Zone Temp
#sav-2a6-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Office 265 SAV-2A6-CA,Zone Temp / Zone Temp,1_2,20618:6,1,BAI,2,38,69,Zone Temp / Zone Temp
#sav-2a7-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Enginnering 230M SAV-2A7-B,Zone Temp / Zone Temp,1_2,20618:7,1,BAI,2,39,69,Zone Temp / Zone Temp
#sav-2a8-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech. Engineering 230R  SAV-2A8-A,Zone Temp / Zone Temp,1_2,20618:8,1,BAI,2,40,69,Zone Temp / Zone Temp
#sav-2a9-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Second Floor,Long Bar,Mech Engineering 230K SAV-2A9-B,Zone Temp / Zone Temp,1_2,20618:9,1,BAI,2,41,69,Zone Temp / Zone Temp
#sav-3a10-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340J SAV-3A10-B,Zone Temp / Zone Temp,1_2,20618:33,1,BAI,2,43,69,Zone Temp / Zone Temp
#sav-3a11-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Hallway 3C9 SAV-3A11-A,Zone Temp / Zone Temp,1_2,20618:34,1,BAI,2,44,69,Zone Temp / Zone Temp
#sav-3a12-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340H SAV-3A12-B,Zone Temp / Zone Temp,1_2,20618:35,1,BAI,2,45,69,Zone Temp / Zone Temp
#sav-3a13-e/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Bioengineering 340 Center SAV-3A13-E,Zone Temp / Zone Temp,1_2,20618:36,1,BAI,2,46,69,Zone Temp / Zone Temp
#sav-3a14-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340G SAV-3A14-A,Zone Temp / Zone Temp,1_2,20618:37,1,BAI,2,47,69,Zone Temp / Zone Temp
#sav-3a15-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Autoclave 355 SAV-3A15-B,Zone Temp / Zone Temp,1_2,20618:38,1,BAI,2,48,69,Zone Temp / Zone Temp
#sav-3a16-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340F SAV-3A16-B,Zone Temp / Zone Temp,1_2,20618:39,1,BAI,2,49,69,Zone Temp / Zone Temp
#sav-3a17-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340C SAV-3A17-A,Zone Temp / Zone Temp,1_2,20618:40,1,BAI,2,50,69,Zone Temp / Zone Temp
#sav-3a18-e/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Bioengineering 340 East SAV-3A18-E,Zone Temp / Zone Temp,1_2,20618:41,1,BAI,2,51,69,Zone Temp / Zone Temp
#sav-3a19-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Instrument 340D SAV-3A19-A,Zone Temp / Zone Temp,1_2,20618:42,1,BAI,2,52,69,Zone Temp / Zone Temp
#sav-3a20-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Instrument 340B SAV-3A20-A,Zone Temp / Zone Temp,1_2,20618:43,1,BAI,2,54,69,Zone Temp / Zone Temp
#sav-3a21-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Organic Chemistry 335 SAV-3A21-A,Zone Temp / Zone Temp,1_2,20618:44,1,BAI,2,55,69,Zone Temp / Zone Temp
#sav-3a3-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Office Support 365 SAV-3A3-A,Zone Temp / Zone Temp,1_2,20618:26,1,BAI,2,56,69,Zone Temp / Zone Temp
#sav-3a4-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Instrument 340P SAV-3A4-A,Zone Temp / Zone Temp,1_2,20618:27,1,BAI,2,57,69,Zone Temp / Zone Temp
#sav-3a5-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Instrument 340R SAV-3A5-B,Zone Temp / Zone Temp,1_2,20618:28,1,BAI,2,58,69,Zone Temp / Zone Temp
#sav-3a6-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Instrument 340Q SAV-3A6-A,Zone Temp / Zone Temp,1_2,20618:29,1,BAI,2,59,69,Zone Temp / Zone Temp
#sav-3a7-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Instrument 340N SAV-3A7-A,Zone Temp / Zone Temp,1_2,20618:30,1,BAI,2,60,69,Zone Temp / Zone Temp
#sav-3a8-e/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Bioengineering 340 West SAV-3A8-E,Zone Temp / Zone Temp,1_2,20618:31,1,BAI,2,61,69,Zone Temp / Zone Temp
#sav-3a9-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Zone Temp / Zone Temp,1_2,20618:32,1,BAI,2,62,69,Zone Temp / Zone Temp
#sav-b1-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Zone Temp / Zone Temp,1_2,20613:1,1,BAI,2,63,69,Zone Temp / Zone Temp
#sav-b10-b/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Zone Temp / Zone Temp,1_2,20613:10,1,BAI,2,64,69,Zone Temp / Zone Temp
#sav-b11-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Zone Temp / Zone Temp,1_2,20613:11,1,BAI,2,65,69,Zone Temp / Zone Temp
#sav-b12-a/lstat/zone_temp,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Zone Temp / Zone Temp,1_2,20613:12,1,BAI,2,66,69,Zone Temp / Zone Temp
